2020-10-29 15:00:09: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:14: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:19: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:24: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:29: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:34: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:39: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:44: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:49: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:54: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:00:59: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:04: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:09: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:14: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:19: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:24: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:27: [192.168.1.4] login:  Create Token for user:  Method: POST, path: /api/login
2020-10-29 15:01:29: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:30: [192.168.1.4] login: test Get user state:  Method: POST, path: /api/userstate
2020-10-29 15:01:30: [192.168.1.4] login: test Set click:  Method: POST, path: /api/click-state
2020-10-29 15:01:30: [192.168.1.4] login: test Get user state:  Method: POST, path: /api/userstate
2020-10-29 15:01:34: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:36: [192.168.1.4] login: test Set click:  Method: POST, path: /api/click-state
2020-10-29 15:01:36: [192.168.1.4] login: test Get user state:  Method: POST, path: /api/userstate
2020-10-29 15:01:39: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:40: [192.168.1.4] login: test Status confirm:  Method: POST, path: /api/status-confirm
2020-10-29 15:01:44: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 15:01:47: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 15:01:50: [192.168.1.4] login: test Status confirm:  Method: POST, path: /api/status-confirm
2020-10-29 15:01:57: [192.168.1.4] login: test Exit click:  Method: POST, path: /api/exit
2020-10-29 15:02:00: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 15:02:00: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 15:02:01: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
